Angle,Intensity
11.52967793,1473
11.54280821,1427
11.5559385,1525
11.56906878,1452
11.58219906,1456
11.59532934,1488
11.60845963,1415
11.62158991,1435
11.63472019,1443
11.64785048,1450
11.66098076,1454
11.67411104,1435
11.68724132,1453
11.70037161,1484
11.71350189,1441
11.72663217,1562
11.73976245,1469
11.75289274,1514
11.76602302,1477
11.7791533,1464
11.79228358,1446
11.80541387,1525
11.81854415,1500
11.83167443,1412
11.84480472,1457
11.857935,1390
11.87106528,1450
11.88419556,1433
11.89732585,1462
11.91045613,1437
11.92358641,1421
11.93671669,1429
11.94984698,1470
11.96297726,1503
11.97610754,1519
11.98923782,1490
12.00236811,1463
12.01549839,1494
12.02862867,1388
12.04175896,1483
12.05488924,1476
12.06801952,1456
12.0811498,1464
12.09428009,1423
12.10741037,1439
12.12054065,1428
12.13367093,1406
12.14680122,1474
12.1599315,1487
12.17306178,1507
12.18619206,1455
12.19932235,1466
12.21245263,1486
12.22558291,1497
12.2387132,1435
12.25184348,1426
12.26497376,1431
12.27810404,1451
12.29123433,1477
12.30436461,1420
12.31749489,1428
12.33062517,1452
12.34375546,1454
12.35688574,1477
12.37001602,1406
12.38314631,1447
12.39627659,1421
12.40940687,1469
12.42253715,1497
12.43566744,1420
12.44879772,1472
12.461928,1393
12.47505828,1433
12.48818857,1440
12.50131885,1406
12.51444913,1422
12.52757941,1375
12.5407097,1391
12.55383998,1419
12.56697026,1387
12.58010055,1417
12.59323083,1443
12.60636111,1443
12.61949139,1475
12.63262168,1425
12.64575196,1433
12.65888224,1425
12.67201252,1456
12.68514281,1418
12.69827309,1464
12.71140337,1382
12.72453365,1427
12.73766394,1369
12.75079422,1454
12.7639245,1396
12.77705479,1436
12.79018507,1380
12.80331535,1390
12.81644563,1379
12.82957592,1432
12.8427062,1410
12.85583648,1422
12.86896676,1381
12.88209705,1448
12.89522733,1387
12.90835761,1431
12.92148789,1416
12.93461818,1475
12.94774846,1439
12.96087874,1384
12.97400903,1390
12.98713931,1412
13.00026959,1443
13.01339987,1529
13.02653016,1402
13.03966044,1389
13.05279072,1421
13.065921,1398
13.07905129,1425
13.09218157,1408
13.10531185,1431
13.11844214,1421
13.13157242,1370
13.1447027,1438
13.15783298,1401
